activity_code,exercise_name,mets,source,source_url
02205,ニュージーランド原住民の身体活動：全般、きつい労力,6.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02210,高強度インターバルトレーニング：ほどほどの労力,7.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02214,高強度インターバルトレーニング：バーピー、マウンテンクライマー、スクワットジャンプ、タバタ式、きつい 労力,11.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02225,バランス練習アシストロボットを用いたシミュレーショントレーニング：スキー、テニス、ロデオ,2.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02230,フラフープをする,5.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02240,インパルストレーニングシステム、イナーシャルエクササイズトレーナー,9.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02280,VRフィットネスアプリ（スーパーナチュラル）：フロー、ボクシング、きつい労力,8.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02284,エクサキューブ：ワークアウトシリーズ,9.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02288,ブラックボックス（没入型VRエクサゲームシステム）：きつい労力,13.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02300,ワンドエクササイズ：ライフ・ビルド・ライン（ヌンチャク状の運動器具）,3.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02310,ズンバ：運動教室,6.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
